Farthest>>|<<Superl.>>|<<Most distant or remote; as, the farthest degree.  See Furthest.
Mere>>|<<Superl.>>|<<Unmixed; pure; entire; absolute; unqualified.
Mere>>|<<Superl.>>|<<Only this, and nothing else; such, and no more; simple; bare; as, a mere boy; a mere form.
Overest>>|<<Superl.>>|<<Uppermost; outermost.
 work; a mind able to reason; a person able to be generous; able to endure pain; able to play on a piano.
Able>>|<<superl.>>|<<Specially: Having intellectual qualifications, or strong mental powers; showing ability or skill; talented; clever; powerful; as, the ablest man in the senate; an able speech.
Able>>|<<superl.>>|<<Legally qualified; possessed of legal competence; as, able to inherit or devise property.
Angry>>|<<superl.>>|<<Troublesome; vexatious; rigorous.
Angry>>|<<superl.>>|<<Inflamed and painful, as a sore.
Angry>>|<<superl.>>|<<Touched with anger; under the emotion of anger; feeling resentment; enraged; -- followed generally by with before a person, and at before a thing.
Angry>>|<<superl.>>|<<Showing anger; proceeding from anger; acting as if moved by anger; wearing the marks of anger; as, angry words or tones; an angry sky; angry waves.
Angry>>|<<superl.>>|<<Red.
Angry>>|<<superl.>>|<<Sharp; keen; stimulated.
Bad>>|<<superl.>>|<<Wanting good qualities, whether physical or moral; injurious, hurtful, inconvenient, offensive, painful, unfavorable, or defective, either physically or morally; evil; vicious; wicked; -- the opposite of good; as, a bad man; bad conduct; bad habits; bad soil; bad health; bad crop; bad news.
Best>>|<<superl.>>|<<In the highest degree; beyond all others.
Best>>|<<superl.>>|<<To the most advantage; with the most success, case, profit, benefit, or propriety.
Best>>|<<superl.>>|<<Most intimately; most thoroughly or correctly; as, what is expedient is best known to himself.
Big>>|<<superl.>>|<<Having largeness of size; of much bulk or magnitude; of great size; large.
Big>>|<<superl.>>|<<Great with young; pregnant; swelling; ready to give birth or produce; -- often figuratively.
Big>>|<<superl.>>|<<Having greatness, fullness, importance, inflation, distention, etc., whether in a good or a bad sense; as, a big heart; a big voice; big looks; to look big. As applied to looks, it indicates haughtiness or pride.
Blue>>|<<superl.>>|<<Having the color of the clear sky, or a hue resembling it, whether lighter or darker; as, the deep, blue sea; as blue as a sapphire; blue violets.
Blue>>|<<superl.>>|<<Pale, without redness or glare, -- said of a flame; hence, of the color of burning brimstone, betokening the presence of ghosts or devils; as, the candle burns blue; the air was blue with oaths.
Blue>>|<<superl.>>|<<Low in spirits; melancholy; as, to feel blue.
Blue>>|<<superl.>>|<<Suited to produce low spirits; gloomy in prospect; as, thongs looked blue.
Blue>>|<<superl.>>|<<Severe or over strict in morals; gloom; as, blue and sour religionists; suiting one who is over strict in morals; inculcating an impracticable, severe, or gloomy mortality; as, blue laws.
Blue>>|<<superl.>>|<<Literary; -- applied to women; -- an abbreviation of bluestocking.
Brave>>|<<superl.>>|<<Bold; courageous; daring; intrepid; -- opposed to cowardly; as, a brave man; a brave act.
Brave>>|<<superl.>>|<<Having any sort of superiority or excellence; -- especially such as in conspicuous.
Brave>>|<<superl.>>|<<Making a fine show or display.
Broad>>|<<superl.>>|<<Wide; extend in breadth, or from side to side; -- opposed to narrow; as, a broad street, a broad table; an inch broad.
Broad>>|<<superl.>>|<<Extending far and wide; extensive; vast; as, the broad expanse of ocean.
Broad>>|<<superl.>>|<<Extended, in the sense of diffused; open; clear; full.
Broad>>|<<superl.>>|<<Fig.: Having a large measure of any thing or quality; not limited; not restrained; -- applied to any subject, and retaining the literal idea more or less clearly, the precise meaning depending largely on the substantive.
Broad>>|<<superl.>>|<<Comprehensive; liberal; enlarged.
Broad>>|<<superl.>>|<<Plain; evident; as, a broad hint.
Broad>>|<<superl.>>|<<Free; unrestrained; unconfined.
Broad>>|<<superl.>>|<<Characterized by breadth. See Breadth.
Broad>>|<<superl.>>|<<Cross; coarse; indelicate; as, a broad compliment; a broad joke; broad humor.
Broad>>|<<superl.>>|<<Strongly marked; as, a broad Scotch accent.
Brown>>|<<superl.>>|<<Of a dark color, of various shades between black and red or yellow.
Choice>>|<<superl.>>|<<Worthly of being chosen or preferred; select; superior; precious; valuable.
Choice>>|<<superl.>>|<<Preserving or using with care, as valuable; frugal; -- used with of; as, to be choice of time, or of money.
Choice>>|<<superl.>>|<<Selected with care, and due attention to preference; deliberately chosen.
Clean>>|<<superl.>>|<<Free from dirt or filth; as, clean clothes.
Clean>>|<<superl.>>|<<Free from that which is useless or injurious; without defects; as, clean land; clean timber.
Clean>>|<<superl.>>|<<Free from awkwardness; not bungling; adroit; dexterous; as, aclean trick; a clean leap over a fence.
Clean>>|<<superl.>>|<<Free from errors and vulgarisms; as, a clean style.
Clean>>|<<superl.>>|<<Free from restraint or neglect; complete; entire.
Clean>>|<<superl.>>|<<Free from moral defilement; sinless; pure.
Clean>>|<<superl.>>|<<Free from ceremonial defilement.
Clean>>|<<superl.>>|<<Free from that which is corrupting to the morals; pure in tone; healthy.
Clean>>|<<superl.>>|<<Well-proportioned; shapely; as, clean limbs.
Cleanly>>|<<superl.>>|<<Habitually clean; pure; innocent.
Cleanly>>|<<superl.>>|<<Cleansing; fitted to remove moisture; dirt, etc.
Cleanly>>|<<superl.>>|<<Adroit; skillful; dexterous; artful.
Clear>>|<<superl.>>|<<Free from opaqueness; transparent; bright; light; luminous; unclouded.
